date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2022-01-01,26.0,21.0,32.0,0.0,74,8.3,1011.4
2022-01-02,26.8,22.0,32.0,0.0,95,7.1,1012.2
2022-01-03,27.2,23.0,32.0,0.0,81,7.1,1012.7
2022-01-04,28.0,23.0,34.0,0.0,54,11.2,1012.1
2022-01-05,27.0,21.0,32.0,0.0,57,11.0,1010.5
2022-01-06,25.8,21.0,31.0,0.0,68,8.0,1011.1
2022-01-07,26.2,22.0,32.0,0.0,37,7.4,1012.7
2022-01-08,26.3,20.0,33.0,0.0,71,7.6,1014.4
2022-01-09,26.9,20.0,34.0,0.0,63,7.9,1014.5
2022-01-10,27.2,20.0,34.0,0.0,31,8.6,1013.8
2022-01-11,27.6,22.0,34.0,0.0,37,11.8,1014.2
2022-01-12,28.2,24.0,35.0,0.0,15,13.5,1013.8
2022-01-13,27.1,22.0,34.0,0.0,13,10.2,1013.6
2022-01-14,26.1,21.0,32.0,0.0,61,9.0,1013.3
2022-01-15,25.6,22.0,30.0,0.0,344,8.1,1013.4
2022-01-16,25.4,19.0,32.0,0.0,46,7.7,1013.1
2022-01-17,26.8,21.0,34.0,0.0,2,12.4,1012.9
2022-01-18,26.2,21.0,33.0,0.0,10,12.0,1012.7
2022-01-19,26.3,22.0,33.0,0.0,18,11.9,1011.6
2022-01-20,26.1,21.0,33.0,0.0,5,9.4,1011.0
2022-01-21,26.5,21.0,33.0,0.0,359,9.1,1011.5
2022-01-22,26.9,21.0,34.0,0.0,24,8.6,1011.8
2022-01-23,27.0,21.0,35.0,0.0,53,9.7,1010.7
2022-01-24,26.3,21.0,34.0,0.0,8,8.7,1010.6
2022-01-25,25.7,21.0,31.0,0.0,100,7.9,1011.6
2022-01-26,26.1,22.0,32.0,0.0,2,7.9,1012.3
2022-01-27,26.3,19.0,34.0,0.0,61,8.2,1012.9
2022-01-28,26.3,21.0,32.0,0.0,79,8.3,1013.1
2022-01-29,27.8,22.0,34.0,0.0,33,10.5,1013.3
2022-01-30,27.6,24.0,34.0,0.0,13,17.3,1013.9
2022-01-31,26.0,22.0,32.0,0.0,19,11.0,1012.9
2022-02-01,25.2,20.0,31.0,0.0,150,7.4,1011.4
2022-02-02,25.3,21.0,31.0,0.0,97,7.8,1011.0
2022-02-03,25.6,20.0,31.0,0.0,63,7.7,1012.4
2022-02-04,25.9,18.0,33.0,0.0,128,8.9,1013.5
2022-02-05,26.9,21.0,33.0,0.0,51,9.1,1012.9
